  >>> 최종 선택 11011: np=246338918347/None  np_owner=136191668992/None  np_nci=110147249355/None  eps_basic=5084/None  
  CIS  당기=-3651085843  누적=-3651085843  | 해외사업환산손익 | ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationBeforeTax
  CIS  당기=1162414198  누적=1162414198  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss
  CIS  당기=12256411  누적=12256411  | 지분법자본변동 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=-106095071962  누적=-106095071962  | 당기손익으로재분류되지않는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=-31854235362  누적=-31854235362  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLoss
  CIS  당기=-143687277901  누적=-143687277901  | 기타포괄손익-공정가치측정금융자산평가손익 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments
  CIS  당기=5743614836  누적=5743614836  | 순확정급여부채의재측정요소 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans
  CIS  당기=-5644259  누적=-5644259  | 관계기업순확정급여부채의재측정요소중지분해당액 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=83612723338  누적=83612723338  | 분기순이익 | ifrs-full_ProfitLoss
  >>> 최종 선택 11012: np=-136781502139/-57386933740  np_owner=-156253328609/-96472533662  np_nci=19471826470/39085599922  eps_basic=-5833/-3601  

### 139480 11012/CFS
  IS   당기=-43037624221  누적=135285430495  | 영업이익(손실) | dart_OperatingIncomeLoss
  IS   당기=41543178873  누적=85761235921  | 기타수익 | dart_OtherGains
  IS   당기=16348980445  누적=27821796836  | 기타비용 | dart_OtherLosses
  IS   당기=2163562598356  누적=4186407235180  | 판매비와관리비 | dart_TotalSellingGeneralAdministrativeExpenses
  IS   당기=4794504967323  누적=9716765951095  | 매출원가 | ifrs-full_CostOfSales
  IS   당기=-5833  누적=-3601  | 기본주당반기순이익(손실) | ifrs-full_BasicEarningsLossPerShare
  IS   당기=-5833  누적=-3601  | 희석주당반기순이익(손실) | ifrs-full_DilutedEarningsLossPerShare
  IS   당기=161422047147  누적=377395226578  | 금융비용 | ifrs-full_FinanceCosts
  IS   당기=76277854524  누적=238532178689  | 금융수익 | ifrs-full_FinanceIncome
  IS   당기=2120524974135  누적=4321692665675  | 매출총이익 | ifrs-full_GrossProfit
  IS   당기=92341936  누적=538378616  | 손상차손 | ifrs-full_ImpairmentLossRecognisedInProfitOrLoss
  IS   당기=-8226407326  누적=27902605432  | 법인세비용(수익) | ifrs-full_IncomeTaxExpenseContinuingOperations
  IS   당기=-136781502139  누적=-57386933740  | 반기순이익(손실) | ifrs-full_ProfitLoss
  IS   당기=19471826470  누적=39085599922  | 비지배주주지분 | ifrs-full_ProfitLossAttributableToNoncontrollingInterests
  IS   당기=-156253328609  누적=-96472533662  | 지배기업소유주지분 | ifrs-full_ProfitLossAttributableToOwnersOfParent
